id,question,choice1,choice2,choice3,correctAnswer,explanation,theme,imageUrl,imagePath
q1,世界遺産の持つ価値は？,顕著な経済的価値,顕著な観光的価値,顕著な歴史的価値,顕著な普遍的価値,世界遺産は「顕著な普遍的価値（Outstanding Universal Value）」をもつ遺産として、人類全体にとって重要であると認められたものです。経済的・観光的な価値は登録の条件には含まれません。,世界遺産の基礎知識,,
q2,ユネスコ（UNESCO）の正式名称はどれですか？,国際連合文化遺産保護委員会,国際平和と人権擁護機構,世界教育研究協会,国際連合教育科学文化機関,,世界遺産の基礎知識,,
q3,世界遺産の理念が誕生するきっかけとなった遺産は？,ピラミッド群（エジプト）,タージ・マハル,パルテノン神殿,アブシンベル神殿,,世界遺産の基礎知識,,
q4,世界遺産の理念が誕生するきっかけとなったエジプトでの出来事とは？,ピラミッドの発掘調査,王家の谷の再発見,民族同士による紛争,アスワン・ハイ・ダムの建設,,世界遺産の基礎知識,,
q5,遺産保護のために用いられる援助金はどこから拠出される？,国際通貨基金,自然文化保護基金,国際文化遺産支援機構,世界遺産基金,,世界遺産の基礎知識,,
q6,危機遺産リストに選ばれる理由に当てはまらないのは？,戦争や紛争による破壊の危険があるため,地震や洪水などの自然災害によって損壊の恐れがあるため,不適切な開発や管理不足によって景観が損なわれる危険があるため,観光客が多く訪れることで経済的に発展しているため,,世界遺産の基礎知識,,
q7,世界遺産の中で最も登録が多い遺産は？,複合遺産,景観遺産,自然遺産,文化遺産,2025年3月時点では、文化遺産：952、自然遺産：231、複合遺産：40が登録されている。,世界遺産の基礎知識,,
q8,2025年1月時点で、日本にはいくつの世界遺産が登録されている？,26,36,46,56,2025年3月時点での情報を元にしています。試験前には最新の登録件数を確認しましょう。,世界遺産の基礎知識,,
q9,世界遺産に登録される条件として正しいものを選びなさい,観光客数が一定以上であること,経済が安定した国にあること,周りに観光施設があるること,不動産であること,,世界遺産の基礎知識,,
q10,日本で最初に登録された世界遺産は次のうちどれ？,知床,富士山,厳島神社,白神山地,1993年に、白神山地、屋久島、姫路城、法隆寺地域の仏教建造物群、の4つが日本で初めて世界遺産に登録された。,世界遺産の基礎知識,,
q11,屋久島の説明として間違っている説明を選べ,花崗岩が隆起してできた島,"九州最高峰の宮之浦岳を含む、1,000ｍ級の山が連なる",海岸線から山頂まで植物の垂直分布がみられる,季節風による降水量が多い,,日本の世界遺産,,
q12,負の遺産の説明として正しいものはどれか,登録されると自動的に危機遺産リストに入る,戦争や災害の記念碑であれば必ず負の遺産として登録される,世界遺産条約で明確に定義されたカテゴリーである,世界遺産条約では正式に定義されていない,「負の遺産（Negative Heritage）」という言葉は一般的に使われますが、ユネスコの正式な世界遺産区分では定義されていません。,世界遺産の基礎知識,,
q13,広島平和記念碑（原爆ドーム）に、原子爆弾が投下されたのはいつ？,1941年12月8日,1945年8月15日,1945年8月9日,1945年8月6日,1945年8月9日:長崎に原子爆弾が投下された日。1945年8月15日:昭和天皇が玉音放送で日本の降伏を国民に知らせた日。1941年12月8日:日本がハワイの真珠湾を攻撃し、太平洋戦争が始まった日。,日本の世界遺産,,
